timestamp,temperature,pressure,relative_humidity,no2,pm1,pm25,pm10,o3
2023-03-10 13:36:48,10,985,67.7,18,0,1,1,56
2023-03-10 13:47:02,8.6,985,71.4,16,2,3,3,84
2023-03-10 13:57:17,8.1,985,74.7,16,2,3,3,163
2023-03-10 14:07:32,7.8,987,75.4,16,2,3,3,242
2023-03-10 14:17:48,6.9,988,73.7,17,1,2,2,248
2023-03-10 14:28:03,5.8,989,73.1,17,0,0,0,220
2023-03-10 14:38:17,5,990,74.9,17,0,1,1,190
2023-03-10 14:48:33,4.6,991,75.5,17,0,1,1,189
2023-03-10 14:58:49,4.4,991,76.1,17,0,1,1,194
2023-03-10 15:09:05,4.4,992,76.7,17,0,1,1,204
2023-03-10 15:19:21,4.3,993,76.1,17,0,1,1,193
2023-03-10 15:29:36,4.2,993,75.2,17,0,1,1,172
2023-03-10 15:39:52,4.1,994,76,17,0,1,1,164
2023-03-10 15:50:08,4.1,994,76.6,17,1,2,2,164
2023-03-10 16:00:24,4,995,76.4,17,0,1,1,152
2023-03-10 16:10:41,3.9,996,76.7,17,0,1,1,152
2023-03-10 16:20:57,4,996,75.6,17,0,0,0,134
2023-03-10 16:31:13,3.9,996,75,17,0,0,0,122
2023-03-10 16:41:29,3.9,996,74.7,17,0,0,0,102
2023-03-10 16:51:45,4,997,74.8,17,0,0,0,94
2023-03-10 17:12:24,4,997,75,17,0,0,0,90
2023-03-10 17:22:41,4.2,998,74.8,17,1,2,2,81
2023-03-10 17:32:58,3.9,998,75.2,17,0,1,1,80
2023-03-10 17:43:14,3.6,999,75.7,17,0,1,1,66
2023-03-10 17:53:29,3.5,999,75.5,17,0,1,1,77
2023-03-10 18:03:46,3.3,999,75.9,17,0,1,1,70
2023-03-10 18:14:02,3.3,999,75.9,17,0,1,1,79
2023-03-10 18:24:18,3.3,1000,74.5,17,0,1,1,69
2023-03-10 18:34:36,3.1,1000,73.8,17,0,1,1,62
2023-03-10 18:44:52,3.1,1000,72.6,17,0,1,1,49
2023-03-10 18:55:06,3.1,1000,72,17,0,1,1,37
2023-03-10 19:05:22,3.1,1000,72.5,17,1,2,2,32
2023-03-10 19:15:39,3.2,1000,72.3,17,1,2,2,29
2023-03-10 19:25:55,3.3,1001,72,17,1,2,2,27
2023-03-10 19:36:10,3.5,1001,72.2,17,1,2,2,35
2023-03-10 19:46:26,3.4,1001,72,17,1,2,2,31
2023-03-10 19:56:41,3.2,1001,71.7,17,0,1,1,27
2023-03-10 20:06:58,3,1002,72.2,17,1,2,2,18
2023-03-10 20:17:14,2.8,1002,72.7,17,2,3,3,19
2023-03-10 20:27:30,2.7,1002,73.3,17,2,3,3,21
2023-03-10 20:37:46,2.7,1002,73.9,17,2,3,3,24
2023-03-10 20:48:03,2.6,1002,74,17,1,2,2,25
2023-03-10 20:58:18,2.7,1002,73.6,17,2,3,3,27
2023-03-10 21:08:35,2.8,1002,73.1,17,1,2,2,26
2023-03-10 21:18:51,2.8,1002,72.9,17,1,2,2,23
2023-03-10 21:29:08,3,1002,71.9,17,1,2,2,22
2023-03-10 21:39:23,3.1,1003,70.8,17,1,2,2,22
2023-03-10 22:00:04,3.2,1003,70.8,17,2,3,3,18
2023-03-10 22:10:19,3,1003,71.1,17,1,2,2,18
2023-03-10 22:20:37,2.6,1003,71.9,16,1,2,2,18
2023-03-10 22:30:53,2.5,1003,72.2,17,1,2,2,18
2023-03-10 22:41:10,2.4,1003,72.9,17,2,3,3,18
2023-03-10 22:51:26,2.2,1003,74.3,17,2,3,3,18
2023-03-10 23:01:43,2.3,1003,74.6,17,1,2,2,21
2023-03-10 23:12:00,2.3,1003,74.5,17,2,2,2,22
2023-03-10 23:22:16,2.1,1004,75.3,16,2,3,3,22
2023-03-10 23:32:33,2,1004,75.3,18,2,3,3,25
2023-03-10 23:42:50,2,1004,75.9,17,2,3,3,28
2023-03-10 23:53:07,1.9,1003,76.7,17,1,2,2,30
2023-03-11 00:03:24,1.7,1004,77.3,17,2,3,3,33
2023-03-11 00:13:41,1.7,1004,77.5,17,1,2,2,35
